Haslemere,51.08904,-0.71117
Headington,51.76088,-1.21117
Holsworthy,50.80769,-4.35422
Leigh on Sea,51.54864,0.65428
Ponteland,55.04886,-1.74431
Saxmundham,52.21404,1.49263
Stamford,52.65250,-0.48526
Torquay,50.47747,-3.52807
Upminster,51.55638,0.25272
Lutterworth,52.45791,-1.19953
Clerkenwell,51.52436,-0.10316
Bluewater Foodhall,51.44053,0.27157
Altrincham,53.40541,-2.36511
"Cardiff, Queen St",51.48197,-3.17838
Telford Services,52.67743,-2.40210
Swindon,51.54480,-1.80723
Uckfield,50.96936,0.09620
Hereford,52.05950,-2.71832
Malmesbury,51.58052,-2.09320
Bagshot,51.35549,-0.69943
Nailsea,51.43352,-2.75801
Parsons Green,51.47432,-0.20125
Egham,51.43188,-0.54563
Jesmond,54.99166,-1.60431
Enfield Chase,51.65342,-0.09201
Chippenham,51.45845,-2.11689
West Hampstead,51.55151,-0.19280
Shrewsbury,52.70845,-2.75290
Dorking,51.23100,-0.33431
Wimbledon Hill,51.42087,-0.20754
Hawkhurst,51.04700,0.51149
Fulham Palace Road,51.48423,-0.21955
Peterborough,52.57600,-0.24941
Canterbury,51.27579,1.08547
Dome Roundabout,51.68113,-0.39463
Kensington Gardens,51.51065,-0.18408
Camden,51.53756,-0.14168
Corley South Services,52.47193,-1.54679
"Cambridge, Fitzroy Street",52.20661,0.13049
Teignmouth,50.54686,-3.49491
Edenbridge,51.19504,0.06366
Keynsham,51.41409,-2.48409
"Manchester, Spinningfields",53.48090,-2.25023
Cheam,51.35913,-0.21650
Alderley Edge,53.30269,-2.23694
Locks Heath,50.86367,-1.27413
Burgh Heath,51.30692,-0.21798
Petts Wood,51.38767,0.07385
Portman Square,51.51667,-0.15501
Burnt Common,51.28190,-0.51344
Walbrook,51.51199,-0.09013
Broxbourne,51.73796,-0.02220
Amersham,51.67757,-0.60628
Bayswater,51.51685,-0.18741
Horsham,51.06395,-0.33529
Oxford Botley Road,51.75279,-1.28046
Basingstoke,51.26796,-1.08384
Old Brompton Road,51.49199,-0.17922
Hazlemere,51.65168,-0.71210
Ealing,51.61223,-0.10920
West Kensington,51.48860,-0.20522
Palmers Green,51.61793,-0.10834
Guildford,51.23898,-0.57461
"Kings Cross, Granary Square",51.53606,-0.12355
Wollaton,52.95551,-1.22861
Wollaton,52.95551,-1.22861
Heathfield,50.96805,0.25342
Rustington,50.80978,-0.50500
Nine Elms,51.48260,-0.13520
Uttoxeter,52.89687,-1.86197
High Holborn,51.51737,-0.11876
Sherborne,50.94963,-2.51704
Hove,50.84350,-0.17681
Leek,53.10758,-2.01930
High Wycombe,51.61503,-0.76042
Hampton,51.41561,-0.37364
Leicester Forest East South Services,52.61801,-1.20802
Pimlico,51.49244,-0.13946
Clapham Common,51.46194,-0.13924
King's Cross train station,51.53219,-0.12429
Stirling,56.11357,-3.93288
North Walsham,52.82822,1.36550
Keele North Services,52.99325,-2.28984
Aylesbury,51.81496,-0.80824
Milngavie,55.93402,-4.31484
Ipswich,52.03374,1.20436
Manchester Piccadilly,53.47779,-2.23123
Highbury Corner,51.54670,-0.10384
Muswell Hill,51.59159,-0.14242
Knightsbridge,51.49931,-0.16495
Solihull,52.41302,-1.78265
Sidcup,51.42524,0.10526
Notting Hill Gate,51.50886,-0.19776
Newport Pagnell Services,52.08283,-0.74931
London Gateway Services,51.63384,-0.26672
Truro,50.27323,-5.03486
Cambridge,52.17036,0.10985
Frimley,51.31441,-0.74412
Hailsham,50.86394,0.25968
Hythe,51.07199,1.08899
Paddock Wood,51.18160,0.39090
Saltash,50.42166,-4.23394
Sidmouth,50.70007,-3.24427
Sudbury,52.03707,0.73180
Thatcham,51.40265,-1.25597
Twickenham,51.44830,-0.32879
Worcester Park,51.37819,-0.24354
Wymondham,52.57918,1.13637
Cheltenham,51.90228,-2.08410
Canary Wharf,51.50471,-0.01726
Belgravia,51.49915,-0.15664
Tonbridge,51.19423,0.27622
Chandler's Ford,50.98693,-1.37321
Portishead,51.48557,-2.76368
Mill Hill,51.60630,-0.20970
Romsey,50.99069,-1.49614
